isin,name,issuer,fund_family,asset_class,category,strategy,benchmark,domicile,fund_currency,aum_millions,aum_currency,inception_date,age_years,replication_method,distribution_policy,ter,exchange,exchange_code,ticker,trading_currency,listing_date,country,provider,snapshot_date,retrieved_at
IE1000000002,Atlas European Equity Enhanced ETF,Atlas Index,Atlas Index,Equity,European Equity,Core,Europe 600,IE,EUR,1903.67,EUR,2013-05-24,13.2,Physical,Distributing,0.24,Euronext Paris,XPAR,AT0002,EUR,2015-03-28,FR,Atlas Data Feed,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000002,Atlas European Equity Enhanced ETF,Atlas Index,Atlas Index,Equity,European Equity,Core,Europe 600,IE,EUR,1848.76,EUR,2013-05-24,13.2,Physical,Distributing,0.24,Euronext Amsterdam,XAMS,AT0005,EUR,2013-07-25,NL,Atlas Data Feed,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000010,Northstar Corporate Bond UCITS ETF,Northstar Asset Management,Northstar Asset Management,Fixed Income,Corporate Bond,Income,Global Corporate Bond,IE,EUR,3570.51,EUR,2018-09-18,7.9,Sampling,Accumulating,0.48,London Stock Exchange,XLON,NO0010,USD,2020-05-26,GB,Northstar Public Data,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000028,Helix Gold Screened UCITS ETF,Helix Funds,Helix Funds,Commodity,Gold,Single commodity,Physical Gold Reference,IE,USD,2479.03,USD,2011-06-26,15.2,Sampling,Accumulating,0.06,Euronext Paris,XPAR,HE0022,EUR,2012-12-03,FR,Helix Market Files,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000036,Meridian Defensive Allocation UCITS ETF,Meridian ETFs,Meridian ETFs,Multi-Asset,Defensive Allocation,Allocation,Global 30/70,IE,EUR,33.88,EUR,2013-01-06,13.6,Sampling,Accumulating,0.08,Euronext Amsterdam,XAMS,ME0035,EUR,2015-02-18,NL,Meridian Data Service,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000036,Meridian Defensive Allocation UCITS ETF,Meridian ETFs,Meridian ETFs,Multi-Asset,Defensive Allocation,Allocation,Global 30/70,IE,EUR,33.8,EUR,2013-01-06,13.6,Sampling,Accumulating,0.08,London Stock Exchange,XLON,ME0030,GBP,2013-12-05,GB,Meridian Data Service,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000036,Meridian Defensive Allocation UCITS ETF,Meridian ETFs,Meridian ETFs,Multi-Asset,Defensive Allocation,Allocation,Global 30/70,IE,EUR,34.04,EUR,2013-01-06,13.6,Sampling,Accumulating,0.08,Bolsa de Madrid,XMAD,ME0036,EUR,2015-02-03,ES,Meridian Data Service,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000044,Aperture Climate Transition Index ETF,Aperture Index,Aperture Index,Equity,Climate Transition,ESG,Global Climate Transition,LU,GBP,5688.19,GBP,2008-08-12,18.0,Physical,Accumulating,0.59,Euronext Amsterdam,XAMS,AP0045,EUR,2011-01-07,NL,Aperture Public Feed,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000044,Aperture Climate Transition Index ETF,Aperture Index,Aperture Index,Equity,Climate Transition,ESG,Global Climate Transition,LU,GBP,5662.03,GBP,2008-08-12,18.0,Physical,Accumulating,0.59,SIX Swiss Exchange,XSWX,AP0044,CHF,2010-05-31,CH,Aperture Public Feed,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000051,Cedar Technology UCITS ETF,Cedar Capital,Cedar Capital,Equity,Technology,Thematic,Global Technology Leaders,IE,EUR,2678.41,EUR,2016-04-14,10.4,Physical,Accumulating,0.49,London Stock Exchange,XLON,CE0050,GBP,2017-07-20,GB,Cedar Fund Data,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000069,Quarry Gold Index ETF,Quarry Investments,Quarry Investments,Commodity,Gold,Single commodity,Physical Gold Reference,LU,USD,136.44,USD,2007-04-01,19.4,Physical,Distributing,0.07,London Stock Exchange,XLON,QU0060,USD,2007-06-27,GB,Quarry Product Feed,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000069,Quarry Gold Index ETF,Quarry Investments,Quarry Investments,Commodity,Gold,Single commodity,Physical Gold Reference,LU,USD,138.86,USD,2007-04-01,19.4,Physical,Distributing,0.07,Bolsa de Madrid,XMAD,QU0066,EUR,2008-08-06,ES,Quarry Product Feed,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000069,Quarry Gold Index ETF,Quarry Investments,Quarry Investments,Commodity,Gold,Single commodity,Physical Gold Reference,LU,USD,139.05,USD,2007-04-01,19.4,Physical,Distributing,0.07,Borsa Italiana,XMIL,QU0063,EUR,2007-04-30,IT,Quarry Product Feed,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000077,Vela Defensive Allocation Screened UCITS ETF,Vela Asset Management,Vela Asset Management,Multi-Asset,Defensive Allocation,Allocation,Global 30/70,LU,EUR,0.0,EUR,2008-12-05,17.7,Physical,Accumulating,0.07,Deutsche Börse Xetra,XETR,VE0071,EUR,2008-12-10,DE,Vela Fund Files,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000077,Vela Defensive Allocation Screened UCITS ETF,Vela Asset Management,Vela Asset Management,Multi-Asset,Defensive Allocation,Allocation,Global 30/70,LU,EUR,0.0,EUR,2008-12-05,17.7,Physical,Accumulating,0.07,SIX Swiss Exchange,XSWX,VE0074,CHF,2010-03-17,CH,Vela Fund Files,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000077,Vela Defensive Allocation Screened UCITS ETF,Vela Asset Management,Vela Asset Management,Multi-Asset,Defensive Allocation,Allocation,Global 30/70,LU,EUR,0.0,EUR,2008-12-05,17.7,Physical,Accumulating,0.07,Euronext Paris,XPAR,VE0072,EUR,2011-02-26,FR,Vela Fund Files,2026-08-21,2026-08-21T06:30:00+00:00
IE1000000077,Vela Defensive Allocation Screened UCITS ETF,Vela Asset Management,Vela Asset Management,Multi-Asset,Defensive Allocation,Allocation,Global 30/70,LU,EUR,0.0,EUR,2008-12-05,17.7,Physical,Accumulating,0.07,Euronext Amsterdam,XAMS,VE0075,EUR,2009-10-08,NL,Vela Fund Files,2026-08-21,2026-08-21T06:30:00+00:00
