isin,name,issuer,fund_family,asset_class,category,strategy,benchmark,domicile,fund_currency,aum_millions,aum_currency,inception_date,age_years,replication_method,distribution_policy,ter,exchange,exchange_code,ticker,trading_currency,listing_date,country,provider,snapshot_date,retrieved_at
IE1000000002,Atlas European Equity Enhanced ETF,Atlas Index,Atlas Index,Equity,European Equity,Core,Europe 600,IE,EUR,1867.7,EUR,2013-05-24,13.3,Physical,Distributing,0.24,Deutsche Börse Xetra,XETR,AT0001,EUR,2014-09-15,DE,Atlas Data Feed,2026-08-28,2026-08-28T06:30:00+00:00
IE1000000010,Northstar Corporate Bond UCITS ETF,Northstar Asset Management,Northstar Asset Management,Fixed Income,Corporate Bond,Income,Global Corporate Bond,IE,EUR,3699.76,EUR,2018-09-18,7.9,Sampling,Accumulating,0.48,SIX Swiss Exchange,XSWX,NO0014,CHF,2020-03-31,CH,Northstar Public Data,2026-08-28,2026-08-28T06:30:00+00:00
IE1000000010,Northstar Corporate Bond UCITS ETF,Northstar Asset Management,Northstar Asset Management,Fixed Income,Corporate Bond,Income,Global Corporate Bond,IE,EUR,3597.79,EUR,2018-09-18,7.9,Sampling,Accumulating,0.48,Euronext Paris,XPAR,NO0012,EUR,2019-04-24,FR,Northstar Public Data,2026-08-28,2026-08-28T06:30:00+00:00
IE1000000028,Helix Gold Screened UCITS ETF,Helix Funds,Helix Funds,Commodity,Gold,Single commodity,Physical Gold Reference,IE,USD,2636.86,USD,2011-06-26,15.2,Sampling,Accumulating,0.06,SIX Swiss Exchange,XSWX,HE0024,USD,2011-12-26,CH,Helix Market Files,2026-08-28,2026-08-28T06:30:00+00:00
IE1000000028,Helix Gold Screened UCITS ETF,Helix Funds,Helix Funds,Commodity,Gold,Single commodity,Physical Gold Reference,IE,USD,2604.52,USD,2011-06-26,15.2,Sampling,Accumulating,0.06,Euronext Amsterdam,XAMS,HE0025,EUR,2011-11-26,NL,Helix Market Files,2026-08-28,2026-08-28T06:30:00+00:00
IE1000000028,Helix Gold Screened UCITS ETF,Helix Funds,Helix Funds,Commodity,Gold,Single commodity,Physical Gold Reference,IE,USD,2604.35,USD,2011-06-26,15.2,Sampling,Accumulating,0.06,Bolsa de Madrid,XMAD,HE0026,EUR,2011-12-03,ES,Helix Market Files,2026-08-28,2026-08-28T06:30:00+00:00
IE1000000036,Meridian Defensive Allocation UCITS ETF,Meridian ETFs,Meridian ETFs,Multi-Asset,Defensive Allocation,Allocation,Global 30/70,IE,EUR,34.32,EUR,2013-01-06,13.6,Sampling,Accumulating,0.08,Euronext Paris,XPAR,ME0032,EUR,2015-05-27,FR,Meridian Data Service,2026-08-28,2026-08-28T06:30:00+00:00
IE1000000036,Meridian Defensive Allocation UCITS ETF,Meridian ETFs,Meridian ETFs,Multi-Asset,Defensive Allocation,Allocation,Global 30/70,IE,EUR,35.59,EUR,2013-01-06,13.6,Sampling,Accumulating,0.08,Deutsche Börse Xetra,XETR,ME0031,EUR,2013-03-23,DE,Meridian Data Service,2026-08-28,2026-08-28T06:30:00+00:00
IE1000000044,Aperture Climate Transition Index ETF,Aperture Index,Aperture Index,Equity,Climate Transition,ESG,Global Climate Transition,LU,GBP,5823.69,GBP,2008-08-12,18.0,Physical,Accumulating,0.59,Bolsa de Madrid,XMAD,AP0046,EUR,2010-09-14,ES,Aperture Public Feed,2026-08-28,2026-08-28T06:30:00+00:00
IE1000000044,Aperture Climate Transition Index ETF,Aperture Index,Aperture Index,Equity,Climate Transition,ESG,Global Climate Transition,LU,GBP,5722.09,GBP,2008-08-12,18.0,Physical,Accumulating,0.59,Deutsche Börse Xetra,XETR,AP0041,EUR,2010-01-04,DE,Aperture Public Feed,2026-08-28,2026-08-28T06:30:00+00:00
